No.,L,Player,PlaySet,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,TotalTime,GetSet,LostSet,TotalSet,Set,Point
1,,山田脩造,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,0.0
3,,クレクバルトシュ,3,■,■,■,,,35.0,23.0,0.0,65.7,7.67,19.0,12.0,0.0,63.2,2.0,0.67,10.0,0.0,4.0,3.0,-2.5,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,25.0
5,,前田一誠,3,□,□,□,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,0.0
6,,近裕崇,3,■,□,■,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,8.0,0.0,2.0,1.0,-3.1,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,0.0
8,,王東宸,3,■,■,■,,,9.0,4.0,1.0,44.4,1.33,0.0,0.0,0.0,,1.0,0.33,11.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,75.0,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,5.0
9,,高梨健太,3,■,■,■,,,15.0,11.0,0.0,73.3,3.67,5.0,4.0,0.0,80.0,0.0,,15.0,1.0,3.0,1.0,3.3,19.0,11.0,4.0,68.4,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,12.0
11,,傳田亮太,3,□,■,□,,,4.0,4.0,0.0,100.0,1.33,0.0,0.0,0.0,,4.0,1.33,5.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,100.0,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,8.0
14,,椿山竜介,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,0.0
16,,中野倭,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,0.0
17,,市川健太,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,0.0
19,,高橋良,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,0.0
21,,永露元稀,3,■,■,■,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,2.0,0.67,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,2.0
24,L,小川智大,3,●,●,●,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,15.0,11.0,2.0,80.0,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,0.0
26,,山崎彰都,3,■,■,■,,,11.0,6.0,2.0,54.5,2.0,1.0,0.0,1.0,0.0,0.0,,11.0,1.0,2.0,1.0,6.8,10.0,9.0,0.0,90.0,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,ウルフドッグス名古屋,堺ブレイザーズ,3.0,0.0,25.0,18.0,25.0,21.0,25.0,20.0,,,,,75.0,59.0,26,26,28,,,1:20,3,0,3.0,,7.0
1,,松本慶彦,3,■,■,■,,,11.0,5.0,0.0,45.5,1.67,0.0,0.0,0.0,,2.0,0.67,5.0,0.0,0.0,1.0,5.0,3.0,2.0,0.0,66.7,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,堺ブレイザーズ,ウルフドッグス名古屋,0.0,3.0,18.0,25.0,21.0,25.0,20.0,25.0,,,,,59.0,75.0,26,26,28,,,1:20,0,3,,3.0,7.0
2,,樋口裕希,3,■,■,■,,,16.0,11.0,1.0,68.8,3.67,5.0,4.0,0.0,80.0,2.0,0.67,9.0,0.0,3.0,2.0,-2.8,22.0,11.0,4.0,59.1,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,堺ブレイザーズ,ウルフドッグス名古屋,0.0,3.0,18.0,25.0,21.0,25.0,20.0,25.0,,,,,59.0,75.0,26,26,28,,,1:20,0,3,,3.0,13.0
4,,高野直哉,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,堺ブレイザーズ,ウルフドッグス名古屋,0.0,3.0,18.0,25.0,21.0,25.0,20.0,25.0,,,,,59.0,75.0,26,26,28,,,1:20,0,3,,3.0,0.0
5,,堀江友裕,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,堺ブレイザーズ,ウルフドッグス名古屋,0.0,3.0,18.0,25.0,21.0,25.0,20.0,25.0,,,,,59.0,75.0,26,26,28,,,1:20,0,3,,3.0,0.0
7,,出耒田敬,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,堺ブレイザーズ,ウルフドッグス名古屋,0.0,3.0,18.0,25.0,21.0,25.0,20.0,25.0,,,,,59.0,75.0,26,26,28,,,1:20,0,3,,3.0,0.0
9,,迫田郭志,3,■,■,□,,,9.0,2.0,0.0,22.2,0.67,1.0,0.0,0.0,0.0,0.0,,7.0,0.0,3.0,1.0,-7.1,15.0,14.0,0.0,93.3,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,堺ブレイザーズ,ウルフドッグス名古屋,0.0,3.0,18.0,25.0,21.0,25.0,20.0,25.0,,,,,59.0,75.0,26,26,28,,,1:20,0,3,,3.0,2.0
13,,シャロンバーノンエバンズ,3,■,■,■,,,22.0,10.0,1.0,45.5,3.33,8.0,3.0,1.0,37.5,0.0,,10.0,0.0,4.0,1.0,-7.5,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,堺ブレイザーズ,ウルフドッグス名古屋,0.0,3.0,18.0,25.0,21.0,25.0,20.0,25.0,,,,,59.0,75.0,26,26,28,,,1:20,0,3,,3.0,10.0
14,,山口頌平,3,□,□,□,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,堺ブレイザーズ,ウルフドッグス名古屋,0.0,3.0,18.0,25.0,21.0,25.0,20.0,25.0,,,,,59.0,75.0,26,26,28,,,1:20,0,3,,3.0,0.0
17,,深津旭弘,3,■,■,■,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,11.0,1.0,0.0,1.0,11.4,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,堺ブレイザーズ,ウルフドッグス名古屋,0.0,3.0,18.0,25.0,21.0,25.0,20.0,25.0,,,,,59.0,75.0,26,26,28,,,1:20,0,3,,3.0,1.0
18,,梅本鈴太郎,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,堺ブレイザーズ,ウルフドッグス名古屋,0.0,3.0,18.0,25.0,21.0,25.0,20.0,25.0,,,,,59.0,75.0,26,26,28,,,1:20,0,3,,3.0,0.0
20,L,山本智大,3,●,●,●,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,8.0,6.0,0.0,75.0,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,堺ブレイザーズ,ウルフドッグス名古屋,0.0,3.0,18.0,25.0,21.0,25.0,20.0,25.0,,,,,59.0,75.0,26,26,28,,,1:20,0,3,,3.0,0.0
21,,竹元裕太郎,3,■,■,■,,,6.0,3.0,0.0,50.0,1.0,0.0,0.0,0.0,,0.0,,8.0,0.0,1.0,0.0,-3.1,1.0,0.0,0.0,0.0,281,2023-04-08,京都府,島津アリーナ京都,2086.0,12:00,13:26,1:26,高橋憲太郎,山本晋五,林淳一,槇隆道,堺ブレイザーズ,ウルフドッグス名古屋,0.0,3.0,18.0,25.0,21.0,25.0,20.0,25.0,,,,,59.0,75.0,26,26,28,,,1:20,0,3,,3.0,3.0
