,Player,Team,Month,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
0,エバデダンジェフリー宇意,富士通カワサキレッドスピリッツ,1,3,11,29.0,16.0,1.0,55.2,1.45,0.0,0.0,0.0,,8.0,0.73,28.0,2.0,3.0,8.0,11.6,5.0,1.0,2.0,40.0,1673,2458.0,8.0,1.0,71.0,63.0,75.0,63.0,71.0,64.0,42.0,42.0,15.0,12.0,274.0,244.0,71,69,74,42.0,15.0,9,3,7.0,5.0,26.0,51.7,
1,エバデダンジェフリー宇意,富士通カワサキレッドスピリッツ,2,4,16,43.0,24.0,5.0,55.8,1.5,0.0,0.0,0.0,,12.0,0.75,39.0,1.0,3.0,6.0,4.5,5.0,0.0,2.0,20.0,2318,1350.0,11.0,1.0,100.0,79.0,92.0,93.0,101.0,103.0,75.0,58.0,15.0,11.0,383.0,344.0,79,97,113,66.0,14.0,12,4,11.0,5.0,37.0,44.2,
2,エバデダンジェフリー宇意,富士通カワサキレッドスピリッツ,11,5,16,54.0,23.0,4.0,42.6,1.44,0.0,0.0,0.0,,8.0,0.5,38.0,3.0,3.0,8.0,11.2,2.0,1.0,1.0,75.0,2572,2322.0,12.0,3.0,120.0,98.0,125.0,88.0,112.0,114.0,42.0,45.0,0.0,0.0,399.0,345.0,113,113,127,50.0,0.0,13,4,6.0,11.0,34.0,35.2,
3,エバデダンジェフリー宇意,富士通カワサキレッドスピリッツ,12,2,8,22.0,13.0,1.0,59.1,1.62,0.0,0.0,0.0,,4.0,0.5,14.0,1.0,2.0,0.0,3.6,1.0,0.0,1.0,50.0,1069,800.0,0.0,6.0,39.0,50.0,43.0,46.0,47.0,47.0,34.0,50.0,0.0,0.0,163.0,193.0,43,47,51,46.0,0.0,2,6,4.0,4.0,18.0,54.5,
4,ジェイレンペンローズ,サフィルヴァ北海道,1,96,15,122.0,57.0,14.0,46.7,3.8,61.0,33.0,10.0,54.1,10.0,0.67,63.0,8.0,13.0,26.0,17.9,0.0,0.0,0.0,,2228,3455.0,7.0,5.0,93.0,88.0,95.0,80.0,96.0,84.0,46.0,42.0,12.0,15.0,342.0,309.0,88,88,94,44.0,15.0,9,6,12.0,3.0,75.0,35.2,37.7
5,ジェイレンペンローズ,サフィルヴァ北海道,2,120,18,151.0,71.0,12.0,47.0,3.94,64.0,30.0,4.0,46.9,14.0,0.78,64.0,5.0,17.0,15.0,7.0,0.0,0.0,0.0,,2908,3426.0,13.0,2.0,113.0,105.0,118.0,95.0,126.0,111.0,103.0,94.0,13.0,15.0,473.0,420.0,103,112,121,104.0,16.0,14,6,20.0,0.0,90.0,39.1,40.6
6,ジェイレンペンローズ,サフィルヴァ北海道,11,144,22,184.0,94.0,18.0,51.1,4.27,82.0,40.0,15.0,48.8,15.0,0.68,82.0,10.0,27.0,18.0,9.5,1.0,0.0,0.0,0.0,3088,3621.0,13.0,5.0,145.0,141.0,156.0,135.0,147.0,115.0,65.0,64.0,12.0,15.0,525.0,470.0,138,150,141,65.0,18.0,14,8,14.0,8.0,119.0,41.3,30.5
7,ジェイレンペンローズ,サフィルヴァ北海道,12,48,9,83.0,41.0,8.0,49.4,4.56,38.0,20.0,3.0,52.6,4.0,0.44,27.0,2.0,10.0,5.0,2.8,1.0,0.0,1.0,50.0,1068,1050.0,4.0,2.0,47.0,47.0,50.0,38.0,45.0,50.0,50.0,40.0,15.0,17.0,207.0,192.0,46,48,52,46.0,18.0,5,4,0.0,9.0,47.0,39.8,44.7
8,マキネンペェトゥ,ヴォレアス北海道,1,32,11,76.0,36.0,7.0,47.4,3.27,11.0,6.0,0.0,54.5,6.0,0.55,43.0,3.0,8.0,18.0,12.8,49.0,16.0,16.0,49.0,2230,1770.0,12.0,0.0,88.0,92.0,107.0,89.0,98.0,89.0,75.0,64.0,0.0,0.0,368.0,334.0,87,100,101,75.0,0.0,12,3,15.0,0.0,45.0,38.2,54.5
9,マキネンペェトゥ,ヴォレアス北海道,2,40,16,84.0,37.0,6.0,44.0,2.31,15.0,7.0,1.0,46.7,5.0,0.31,63.0,3.0,20.0,11.0,1.2,92.0,45.0,15.0,57.1,2905,3418.0,12.0,3.0,122.0,100.0,121.0,110.0,124.0,119.0,80.0,74.0,0.0,0.0,447.0,403.0,109,127,133,79.0,0.0,13,5,11.0,7.0,45.0,36.9,40.0
