,Player,Team,Month,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
0,アコスタロスランディ,PFUブルーキャッツ,1,144,31,274.0,100.0,17.0,36.5,3.23,20.0,8.0,3.0,40.0,16.0,0.52,106.0,3.0,18.0,18.0,2.8,199.0,97.0,46.0,60.3,3069,6569.0,11.0,13.0,166.0,193.0,189.0,182.0,198.0,194.0,139.0,153.0,15.0,8.0,707.0,730.0,194.0,224.0,232.0,171.0,16.0,15,16,16.0,15.0,119.0,30.3,25.0
1,アコスタロスランディ,PFUブルーキャッツ,2,36,6,42.0,15.0,2.0,35.7,2.5,3.0,0.0,1.0,0.0,1.0,0.17,9.0,0.0,0.0,3.0,8.3,25.0,8.0,10.0,52.0,834,1449.0,0.0,6.0,32.0,50.0,34.0,50.0,45.0,47.0,15.0,25.0,0.0,0.0,126.0,172.0,48.0,50.0,61.0,26.0,0.0,1,6,0.0,7.0,16.0,31.0,-33.3
2,アコスタロスランディ,PFUブルーキャッツ,10,36,10,84.0,31.0,5.0,36.9,3.1,9.0,1.0,2.0,11.1,6.0,0.6,35.0,0.0,6.0,13.0,5.0,69.0,25.0,21.0,51.4,592,1280.0,2.0,4.0,44.0,48.0,42.0,46.0,41.0,41.0,42.0,48.0,27.0,31.0,196.0,214.0,50.0,54.0,49.0,52.0,35.0,4,6,10.0,0.0,37.0,31.0,-11.1
3,アコスタロスランディ,PFUブルーキャッツ,11,144,29,260.0,119.0,6.0,45.8,4.1,16.0,8.0,1.0,50.0,10.0,0.34,99.0,1.0,21.0,18.0,0.3,177.0,95.0,47.0,66.9,2601,5417.0,12.0,12.0,178.0,195.0,174.0,182.0,179.0,179.0,95.0,78.0,26.0,27.0,652.0,661.0,218.0,214.0,214.0,104.0,39.0,14,16,16.0,14.0,130.0,43.5,43.8
4,アコスタロスランディ,PFUブルーキャッツ,12,36,7,89.0,30.0,5.0,33.7,4.29,11.0,1.0,2.0,9.1,3.0,0.43,21.0,0.0,4.0,1.0,-3.6,33.0,7.0,12.0,39.4,708,1455.0,3.0,3.0,34.0,50.0,44.0,47.0,39.0,45.0,25.0,20.0,0.0,0.0,142.0,162.0,44.0,59.0,53.0,30.0,0.0,3,4,7.0,0.0,33.0,28.1,-9.1
5,イヴェギントゥーバ,KUROBEアクアフェアリーズ,1,24,25,237.0,91.0,17.0,38.4,3.64,8.0,2.0,1.0,25.0,7.0,0.28,106.0,8.0,12.0,28.0,11.3,164.0,69.0,45.0,55.8,2349,4221.0,11.0,7.0,144.0,123.0,135.0,147.0,139.0,148.0,145.0,136.0,15.0,12.0,578.0,566.0,145.0,154.0,159.0,156.0,21.0,14,11,0.0,25.0,106.0,31.2,12.5
6,イヴェギントゥーバ,KUROBEアクアフェアリーズ,2,12,11,107.0,41.0,16.0,38.3,3.73,6.0,2.0,1.0,33.3,6.0,0.55,46.0,2.0,5.0,12.0,8.2,65.0,33.0,8.0,56.9,1190,2780.0,6.0,3.0,68.0,70.0,75.0,61.0,70.0,65.0,45.0,45.0,0.0,0.0,258.0,241.0,73.0,79.0,76.0,56.0,0.0,7,4,7.0,4.0,49.0,23.4,16.7
7,イヴェギントゥーバ,KUROBEアクアフェアリーズ,10,8,8,57.0,17.0,10.0,29.8,2.12,5.0,2.0,2.0,40.0,1.0,0.12,23.0,1.0,0.0,8.0,13.0,47.0,21.0,9.0,54.3,588,1782.0,1.0,5.0,38.0,41.0,41.0,50.0,45.0,47.0,18.0,25.0,8.0,15.0,150.0,178.0,39.0,56.0,48.0,22.0,16.0,2,6,0.0,8.0,19.0,12.3,0.0
8,イヴェギントゥーバ,KUROBEアクアフェアリーズ,11,32,22,160.0,46.0,14.0,28.7,2.09,18.0,5.0,4.0,27.8,5.0,0.23,74.0,3.0,4.0,20.0,9.5,142.0,73.0,27.0,60.9,2597,5613.0,4.0,20.0,158.0,201.0,160.0,198.0,167.0,188.0,93.0,93.0,38.0,34.0,616.0,714.0,191.0,204.0,205.0,107.0,45.0,8,22,17.0,13.0,54.0,20.0,5.6
9,イヴェギントゥーバ,KUROBEアクアフェアリーズ,12,8,8,70.0,27.0,10.0,38.6,3.38,8.0,4.0,1.0,50.0,3.0,0.38,25.0,3.0,2.0,7.0,17.0,58.0,17.0,19.0,45.7,714,3183.0,0.0,6.0,50.0,46.0,44.0,50.0,37.0,50.0,39.0,50.0,0.0,0.0,170.0,196.0,27.0,25.0,27.0,27.0,0.0,2,6,0.0,8.0,33.0,24.3,37.5
