,Player,Team,Month,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
0,アコスタロスランディ,PFUブルーキャッツ,1,144,31,274.0,100.0,17.0,36.5,3.23,20.0,8.0,3.0,40.0,16.0,0.52,106.0,3.0,18.0,18.0,2.8,199.0,97.0,46.0,60.3,3069,6569.0,11.0,13.0,166.0,193.0,189.0,182.0,198.0,194.0,139.0,153.0,15.0,8.0,707.0,730.0,194.0,224.0,232.0,171.0,16.0,15,16,16.0,15.0,119.0,30.3,25.0
1,アコスタロスランディ,PFUブルーキャッツ,2,108,21,167.0,59.0,5.0,35.3,2.81,13.0,4.0,2.0,30.8,4.0,0.19,66.0,0.0,4.0,21.0,6.4,140.0,59.0,35.0,54.6,2564,7841.0,2.0,16.0,120.0,143.0,105.0,150.0,120.0,142.0,68.0,78.0,15.0,10.0,428.0,523.0,155.0,148.0,156.0,91.0,17.0,5,17,4.0,18.0,63.0,32.3,15.4
2,アコスタロスランディ,PFUブルーキャッツ,3,126,25,251.0,94.0,11.0,37.5,3.76,17.0,7.0,1.0,41.2,11.0,0.44,72.0,1.0,2.0,15.0,5.9,120.0,62.0,32.0,65.0,3261,6986.0,6.0,15.0,165.0,161.0,145.0,163.0,151.0,157.0,63.0,75.0,25.0,26.0,549.0,582.0,190.0,180.0,174.0,81.0,35.0,9,17,8.0,18.0,106.0,33.1,35.3
3,アコスタロスランディ,PFUブルーキャッツ,10,36,10,84.0,31.0,5.0,36.9,3.1,9.0,1.0,2.0,11.1,6.0,0.6,35.0,0.0,6.0,13.0,5.0,69.0,25.0,21.0,51.4,592,1280.0,2.0,4.0,44.0,48.0,42.0,46.0,41.0,41.0,42.0,48.0,27.0,31.0,196.0,214.0,50.0,54.0,49.0,52.0,35.0,4,6,10.0,0.0,37.0,31.0,-11.1
4,アコスタロスランディ,PFUブルーキャッツ,11,144,29,260.0,119.0,6.0,45.8,4.1,16.0,8.0,1.0,50.0,10.0,0.34,99.0,1.0,21.0,18.0,0.3,177.0,95.0,47.0,66.9,2601,5417.0,12.0,12.0,178.0,195.0,174.0,182.0,179.0,179.0,95.0,78.0,26.0,27.0,652.0,661.0,218.0,214.0,214.0,104.0,39.0,14,16,16.0,14.0,130.0,43.5,43.8
5,アコスタロスランディ,PFUブルーキャッツ,12,36,7,89.0,30.0,5.0,33.7,4.29,11.0,1.0,2.0,9.1,3.0,0.43,21.0,0.0,4.0,1.0,-3.6,33.0,7.0,12.0,39.4,708,1455.0,3.0,3.0,34.0,50.0,44.0,47.0,39.0,45.0,25.0,20.0,0.0,0.0,142.0,162.0,44.0,59.0,53.0,30.0,0.0,3,4,7.0,0.0,33.0,28.1,-9.1
6,イヴェギントゥーバ,KUROBEアクアフェアリーズ,1,24,25,237.0,91.0,17.0,38.4,3.64,8.0,2.0,1.0,25.0,7.0,0.28,106.0,8.0,12.0,28.0,11.3,164.0,69.0,45.0,55.8,2349,4221.0,11.0,7.0,144.0,123.0,135.0,147.0,139.0,148.0,145.0,136.0,15.0,12.0,578.0,566.0,145.0,154.0,159.0,156.0,21.0,14,11,0.0,25.0,106.0,31.2,12.5
7,イヴェギントゥーバ,KUROBEアクアフェアリーズ,2,28,24,228.0,78.0,28.0,34.2,3.25,8.0,3.0,1.0,37.5,14.0,0.58,108.0,8.0,13.0,29.0,11.1,155.0,86.0,17.0,61.0,2923,7909.0,6.0,15.0,155.0,171.0,155.0,153.0,155.0,166.0,68.0,70.0,0.0,0.0,533.0,560.0,178.0,178.0,175.0,81.0,0.0,8,16,13.0,11.0,100.0,21.9,25.0
8,イヴェギントゥーバ,KUROBEアクアフェアリーズ,3,32,30,337.0,144.0,36.0,42.7,4.8,17.0,10.0,3.0,58.8,17.0,0.57,122.0,15.0,16.0,36.0,16.4,202.0,96.0,53.0,60.6,3632,7278.0,6.0,18.0,179.0,192.0,180.0,191.0,168.0,201.0,134.0,141.0,26.0,25.0,687.0,750.0,195.0,205.0,202.0,157.0,29.0,11,21,0.0,32.0,176.0,32.0,41.2
9,イヴェギントゥーバ,KUROBEアクアフェアリーズ,10,8,8,57.0,17.0,10.0,29.8,2.12,5.0,2.0,2.0,40.0,1.0,0.12,23.0,1.0,0.0,8.0,13.0,47.0,21.0,9.0,54.3,588,1782.0,1.0,5.0,38.0,41.0,41.0,50.0,45.0,47.0,18.0,25.0,8.0,15.0,150.0,178.0,39.0,56.0,48.0,22.0,16.0,2,6,0.0,8.0,19.0,12.3,0.0
