Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge
プレステージ・インターナショナルアランマーレ,3,2,21,25,23,25,18,112,237,75,19,31.6,15.00,17,2,1,11.8,12,2.40,112,5,6,27,9.2,101,54.0,26.0,66.3,3.0,20,千葉エンゼルクロス,2,1,25,20,25,20,16,106,253,70,13,27.7,14.00,3,0,0,0.0,6,1.20,106,2,4,20,5.7,105,42.0,32.0,55.2,3.0,28,641,2022/10/29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔
千葉エンゼルクロス,2,1,25,20,25,20,16,106,253,70,13,27.7,14.00,3,0,0,0.0,6,1.20,106,2,4,20,5.7,105,42.0,32.0,55.2,3.0,28,プレステージ・インターナショナルアランマーレ,3,2,21,25,23,25,18,112,237,75,19,31.6,15.00,17,2,1,11.8,12,2.40,112,5,6,27,9.2,101,54.0,26.0,66.3,3.0,20,641,2022/10/29,山形県,酒田市国体記念体育館,540,13:00,15:19,2:19,斎藤篤,赤川孝義,斎藤隆介,佐藤大輔
群馬銀行グリーンウイングス,3,3,25,21,25,25,,96,194,70,12,36.1,17.50,10,0,2,0.0,8,2.00,94,4,8,17,6.6,81,34.0,26.0,58.0,3.0,14,リガーレ仙台,1,0,20,25,18,22,,85,174,54,7,31.0,13.50,2,0,0,0.0,7,1.75,86,1,4,21,6.1,86,38.0,27.0,59.9,3.0,23,642,2022/10/29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修
リガーレ仙台,1,0,20,25,18,22,,85,174,54,7,31.0,13.50,2,0,0,0.0,7,1.75,86,1,4,21,6.1,86,38.0,27.0,59.9,3.0,23,群馬銀行グリーンウイングス,3,3,25,21,25,25,,96,194,70,12,36.1,17.50,10,0,2,0.0,8,2.00,94,4,8,17,6.6,81,34.0,26.0,58.0,3.0,14,642,2022/10/29,山形県,酒田市国体記念体育館,340,16:00,17:50,1:50,斎藤篤,伊藤薫,土屋美紀,渡部修
プレステージ・インターナショナルアランマーレ,3,3,25,25,25,,,75,154,53,6,34.4,17.67,18,5,0,27.8,7,2.33,73,2,5,19,7.5,68,34.0,26.0,69.1,3.0,13,リガーレ仙台,0,0,23,22,23,,,68,151,47,9,31.1,15.67,2,0,0,0.0,7,2.33,70,0,2,8,2.1,68,34.0,13.0,59.6,2.0,14,645,2022/10/30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛
リガーレ仙台,0,0,23,22,23,,,68,151,47,9,31.1,15.67,2,0,0,0.0,7,2.33,70,0,2,8,2.1,68,34.0,13.0,59.6,2.0,14,プレステージ・インターナショナルアランマーレ,3,3,25,25,25,,,75,154,53,6,34.4,17.67,18,5,0,27.8,7,2.33,73,2,5,19,7.5,68,34.0,26.0,69.1,3.0,13,645,2022/10/30,山形県,酒田市国体記念体育館,670,13:00,14:29,1:29,斎藤篤,赤川孝義,斎藤隆介,吉田剛
群馬銀行グリーンウイングス,3,3,25.0,25.0,25.0,,,75,126,46,7,36.5,15.33,9,0,1,0.0,11,3.67,73,5,6,15,9.9,55,16.0,23.0,50.0,3.0,13,千葉エンゼルクロス,0,0,18.0,18.0,18.0,,,54,126,34,10,27.0,11.33,6,1,0,16.7,4,1.33,56,0,1,16,6.7,67,28.0,19.0,56.0,2.0,16,646,2022/10/30,山形県,酒田市国体記念体育館,380,15:15,16:34,1:19,斎藤篤,伊藤薫,土屋美紀,渡部修
千葉エンゼルクロス,0,0,18.0,18.0,18.0,,,54,126,34,10,27.0,11.33,6,1,0,16.7,4,1.33,56,0,1,16,6.7,67,28.0,19.0,56.0,2.0,16,群馬銀行グリーンウイングス,3,3,25.0,25.0,25.0,,,75,126,46,7,36.5,15.33,9,0,1,0.0,11,3.67,73,5,6,15,9.9,55,16.0,23.0,50.0,3.0,13,646,2022/10/30,山形県,酒田市国体記念体育館,380,15:15,16:34,1:19,斎藤篤,伊藤薫,土屋美紀,渡部修
ブレス浜松,3,3,20,25,26,25,,96,149,50,7,33.6,12.50,23,6,3,26.1,11,2.75,95,3,17,25,5.3,75,42.0,13.0,64.7,6.0,32,JAぎふリオレーナ,1,0,25,20,24,19,,88,176,51,14,29.0,12.75,12,4,4,33.3,5,1.25,89,2,13,19,3.9,78,34.0,16.0,53.8,5.0,30,643,2022/10/29,長野県,上田市自然運動公園総合体育館,340,12:00,13:47,1:47,小林朝実,中島俊昌,北原良太,樋口裕晃
JAぎふリオレーナ,1,0,25,20,24,19,,88,176,51,14,29.0,12.75,12,4,4,33.3,5,1.25,89,2,13,19,3.9,78,34.0,16.0,53.8,5.0,30,ブレス浜松,3,3,20,25,26,25,,96,149,50,7,33.6,12.50,23,6,3,26.1,11,2.75,95,3,17,25,5.3,75,42.0,13.0,64.7,6.0,32,643,2022/10/29,長野県,上田市自然運動公園総合体育館,340,12:00,13:47,1:47,小林朝実,中島俊昌,北原良太,樋口裕晃
